Age,MP,PER,TS%,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,PTS,Salary
36,1627,20.2,0.578,303,604,0.502,56,104,0.538,0.55,0.707,107,394,150,24,70,792,16000000
31,2199,20.8,0.627,388,613,0.633,0,2,0,0.63,0.533,296,644,104,64,92,1002,23500000
24,2254,11.6,0.602,303,647,0.468,134,302,0.444,0.57,0.847,19,206,93,54,20,845,19332500
26,2465,25.7,0.562,647,1433,0.452,131,364,0.36,0.5,0.772,153,644,332,100,92,1942,18063850
33,33,7.7,0.773,2,3,0.667,0,1,0,0.67,1,0,0,5,2,0,6,2328652
24,1593,12.4,0.522,272,666,0.408,114,307,0.371,0.49,0.783,16,186,96,38,11,748,2386864
27,1754,13.1,0.546,305,735,0.415,105,308,0.341,0.49,0.843,22,258,157,46,6,919,1524305
35,539,8.9,0.506,55,134,0.41,20,64,0.313,0.49,0.917,15,59,88,11,1,141,2328652
24,2154,15.2,0.568,415,912,0.455,149,417,0.357,0.54,0.766,35,189,182,55,15,1143,16500000
25,1333,17.6,0.588,194,377,0.515,21,74,0.284,0.54,0.759,93,213,49,61,39,516,9003125
22,2399,12,0.486,269,749,0.359,94,332,0.283,0.42,0.812,78,228,364,125,34,835,4538020
23,2409,20.9,0.518,483,911,0.53,2,7,0.286,0.53,0.386,345,771,89,124,89,1105,23775506
24,1028,13.1,0.555,128,301,0.425,49,134,0.366,0.51,0.89,17,94,120,47,8,370,1713840
26,2739,21.3,0.569,643,1449,0.444,240,602,0.399,0.53,0.847,45,263,435,85,22,1830,12000000
24,2222,13.6,0.534,412,932,0.442,127,352,0.361,0.51,0.753,39,252,176,78,21,1067,21000000
